nome_escola,ip_switch_referencia
ARAJU PORA,10.208.252.3
DIAMANTE D OESTE,10.133.148.3
KUAA MBO E,10.133.146.3
ILDO JOSE FRITZEN,10.133.216.3
CEEBJA VALDIR FERNANDES-EF M,
JAIME RODRIGUES,10.134.206.3
JARDIM ZEBALLOS,10.134.210.3
MARIA BOLWERK,10.134.200.3
MBYJA PORA,10.134.214.3
MENDES GONCALVES,10.215.48.3
ROOSEVELT,10.216.140.3
SAMUEL BENCK,10.134.202.3
ANTONIO M CERETTA,10.215.108.3
DEALMO S POERSCH,10.137.186.3
ERON DOMINGUES,10.217.40.3
FRENTINO SACKSER,10.137.196.3
MARGARIDA,10.137.194.3
MONTEIRO LOBATO,10.137.198.3
NILSO FRANCESKI,10.137.184.3
NOVO TRES PASSOS,10.137.206.3
PAULO FREIRE,10.137.202.3
PORTO MENDES,10.137.188.3
RONDON,10.137.200.3
ZULMIRO TRENTO,10.137.190.3
CASTRO ALVES,10.138.54.3
PIO XII,10.138.56.3
ERONILDES FRANCENER,10.138.108.3
LEONILDA PAPEN,10.138.110.3
GASPAR DUTRA,10.138.216.3
PLANALTO,10.138.212.3
VINICIUS DE MORAES,10.138.214.3
OURO VERDE,10.139.4.3
ROMUALDO PEITER,10.139.2.3
ADROALDO A COLOMBO,10.128.216.3
CEEBJA PALOTINA-EF M,
DOMINGOS FCO ZARDO,10.139.74.3
EUGENIO GARMATZ,10.139.86.3
RIO BRANCO,10.215.176.3
SANTA TEREZINHA,10.139.88.3
SANTO AGOSTINHO,10.219.64.3
SHIRLEY SAURIN,10.139.84.3
TANCREDO NEVES,10.139.82.3
PATO BRAGADO,10.139.182.3
QUATRO PONTES,10.141.66.3
CEEBJA SANTA HELENA-EF M,
GRACILIANO RAMOS,10.142.84.3
HUMBERTO DE A C BRANCO,10.142.82.3
JOSE BIESDORF,10.142.72.3
SANTOS DUMONT,10.142.76.3
SAO FRANCISCO,10.142.90.3
SAO ROQUE,10.129.80.3
TEOTONIO VILELA,10.142.88.3
VERONICA ZIMERMANN,10.142.80.3
SAO JOSE,10.143.12.3
EVALDO TALYULY,10.143.116.4
SAO PEDRO,10.143.118.4
ALTO ALEGRE,10.208.18.3
ARANDU GUARANI,
ANTONIO CARLOS GOMES,10.208.24.3
ARTHUR C E SILVA,10.216.168.3
CENTRO EST EDUC PROFIS PAULO R SOUZA,
MARIA C DINIZ CUNHA,
SANTA RITA D OESTE,10.208.118.3
ANTONIO J REIS,10.208.84.3
ATTILIO FONTANA,10.219.96.4
AUGUSTINHO DONIN,10.208.88.3
AYRTON SENNA DA SILVA,10.214.252.3
BOA VISTA,10.208.40.3
BOM PRINCIPIO,10.208.48.3
CASTELO BRANCO,10.217.16.3
CEEBJA TOLEDO-EF M,
DARIO VELLOZO,10.214.208.3
DEZ DE MAIO,10.208.44.3
EDWINO SCHERER,10.208.46.3
ESPERANCA F COVATTI,10.208.60.3
FRANCISCO G DE LIMA,10.208.78.4
GERMANO RHODEN,10.208.66.3
JARDIM EUROPA,10.218.252.4
JARDIM GISELE,10.208.80.3
JARDIM MARACANA,10.216.44.3
JARDIM PORTO ALEGRE,10.218.0.3
JOAO ARNALDO RITT,10.208.56.3
JOAO C FERREIRA,10.208.58.3
LUIZ AUGUSTO M REGO,10.215.60.3
NOVA CONCORDIA,10.208.54.3
NOVO HORIZONTE,10.214.96.4
NOVO SARANDI,10.208.94.3
NOVO SOBRADINHO,10.208.96.3
OURO PRETO,10.208.42.3
SAO LUIZ DOESTE,10.208.50.3
TOLEDO,10.215.172.3
VILA IPIRANGA,10.208.52.3
